cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-b,1.0,0.3,456,True,False,True,PiW,101687,0.046848794548587175,0.0009469641984578512,0.04499274471960979,0.04870484437756456,-0.058665,0.10551379454858717,False,0.01277,0.1521,3.3606473837456248
T2-b,1.0,0.3,789,True,False,True,PiW,101442,0.04599354378465166,0.0009452427077349973,0.04414086807749107,0.04784621949181225,-0.058665,0.10465854378465167,False,0.01277,0.1521,3.2992968992782927
T2-b,1.0,0.3,2026,True,False,True,PiW,101293,0.04524204077535167,0.0009457023089391784,0.04338846424983088,0.04709561730087246,-0.058665,0.10390704077535168,False,0.01277,0.1521,3.2453886472855604
T2-b,1.0,0.3,42,True,True,False,PIw,101310,-0.07138013614396461,0.003240664134366385,-0.07773183784732272,-0.0650284344406065,-0.058665,-0.012715136143964613,False,0.01277,0.1521,5.120376523985833
T2-b,1.0,0.3,123,True,True,False,PIw,101098,-0.07101287369191678,0.0031943602726678395,-0.07727381982634575,-0.0647519275574878,-0.058665,-0.012347873691916776,False,0.01277,0.1521,5.09403135095598
T2-b,1.0,0.3,456,True,True,False,PIw,101687,-0.0676888563902933,0.0031969340472531157,-0.07395484712290941,-0.0614228656576772,-0.058665,-0.009023856390293301,False,0.01277,0.1521,4.8555865807999234
T2-b,1.0,0.3,789,True,True,False,PIw,101442,-0.07063480579583334,0.00323402261849765,-0.07697349012808873,-0.06429612146357795,-0.058665,-0.011969805795833337,False,0.01277,0.1521,5.066911061136498
T2-b,1.0,0.3,2026,True,True,False,PIw,101293,-0.07298712889857835,0.0032564267359920084,-0.07936972530112268,-0.06660453249603401,-0.058665,-0.014322128898578347,False,0.01277,0.1521,5.235652403515451
T2-b,1.0,0.3,42,True,True,True,PIW,101310,-0.059740911125089946,0.0032255251260044624,-0.06606294037205869,-0.0534188818781212,-0.058665,-0.0010759111250899442,True,0.01277,0.1521,4.28544936128283
T2-b,1.0,0.3,123,True,True,True,PIW,101098,-0.05902709512782133,0.003210421353812173,-0.06531952098129319,-0.05273466927434947,-0.058665,-0.0003620951278213297,True,0.01277,0.1521,4.234244546157679
T2-b,1.0,0.3,456,True,True,True,PIW,101687,-0.05967965698153504,0.0032168551395692535,-0.06598469305509078,-0.0533746209079793,-0.058665,-0.0010146569815350365,True,0.01277,0.1521,4.281055361837062
T2-b,1.0,0.3,789,True,True,True,PIW,101442,-0.058685977962253826,0.0032178198728621773,-0.0649929049130637,-0.05237905101144396,-0.058665,-2.0977962253823645e-05,True,0.01277,0.1521,4.209774876851114
T2-b,1.0,0.3,2026,True,True,True,PIW,101293,-0.06164682887872567,0.003273911876142161,-0.0680636961559643,-0.055229961601487035,-0.058665,-0.0029818288787256675,True,0.01277,0.1521,4.42216830088644
T2-null,0.5,4.99720863,42,False,False,False,piw,161593,0.06248992906060545,0.0009847906516427317,0.0605597393833857,0.0644201187378252,0.001848,0.06064192906060545,False,,,
T2-null,0.5,4.99720863,123,False,False,False,piw,161953,0.06174305358797527,0.000979154157809094,0.05982391143866945,0.0636621957372811,0.001848,0.05989505358797527,False,,,
